"","ActivityStartDate","date_yearmon","Site","Chlorophyll.a..corrected.for.pheophytin","Weight","year"
"391",2010-08-01,Aug 2010,"Clark Fork River above Little Blackfoot",64.1478260869565,67.8095238095238,2010
"392",2010-09-10,Sep 2010,"Clark Fork River above Little Blackfoot",119.466666666667,59.95,2010
"393",2011-08-01,Aug 2011,"Clark Fork River above Little Blackfoot",50.6666666666667,13,2011
"394",2011-09-03,Sep 2011,"Clark Fork River above Little Blackfoot",65.2666666666667,16.6666666666667,2011
"395",2012-07-31,Jul 2012,"Clark Fork River above Little Blackfoot",85.1904761904762,72.6190476190476,2012
"396",2012-09-01,Sep 2012,"Clark Fork River above Little Blackfoot",147.761904761905,57.0952380952381,2012
"397",2013-06-28,Jun 2013,"Clark Fork River above Little Blackfoot",63.1363636363636,61.9565217391304,2013
"398",2013-08-04,Aug 2013,"Clark Fork River above Little Blackfoot",196.888888888889,107.074074074074,2013
"399",2013-09-01,Sep 2013,"Clark Fork River above Little Blackfoot",150.068965517241,71.7142857142857,2013
"400",2014-08-14,Aug 2014,"Clark Fork River above Little Blackfoot",95.6136363636364,105.952272727273,2014
"401",2015-07-01,Jul 2015,"Clark Fork River above Little Blackfoot",75.12,135.88,2015
"402",2015-08-01,Aug 2015,"Clark Fork River above Little Blackfoot",312.190476190476,183.571428571429,2015
"403",2015-09-05,Sep 2015,"Clark Fork River above Little Blackfoot",129.190476190476,45.8571428571429,2015
"404",2016-07-17,Jul 2016,"Clark Fork River above Little Blackfoot",195.475555555556,170.208444444444,2016
"405",2016-09-04,Sep 2016,"Clark Fork River above Little Blackfoot",125.17619047619,52.9228571428571,2016
"406",2017-07-05,Jul 2017,"Clark Fork River above Little Blackfoot",34,27.7285714285714,2017
"407",2017-08-02,Aug 2017,"Clark Fork River above Little Blackfoot",116.242857142857,167.638095238095,2017
"408",2017-09-03,Sep 2017,"Clark Fork River above Little Blackfoot",77.3409090909091,139.922727272727,2017
"409",2018-08-04,Aug 2018,"Clark Fork River above Little Blackfoot",94.70625,58.51875,2018
"410",2018-09-04,Sep 2018,"Clark Fork River above Little Blackfoot",229.275,69.89,2018
"411",2019-07-24,Jul 2019,"Clark Fork River above Little Blackfoot",34.0678052189189,47.522972972973,2019
"412",2019-08-30,Aug 2019,"Clark Fork River above Little Blackfoot",141.594736842105,54.6105263157895,2019
"413",2020-08-05,Aug 2020,"Clark Fork River above Little Blackfoot",105.9665,139.6645,2020
"414",2020-09-01,Sep 2020,"Clark Fork River above Little Blackfoot",147.974166666667,66.2779166666667,2020
"415",2021-07-13,Jul 2021,"Clark Fork River above Little Blackfoot",99.6666666666667,59.9523809523809,2021
"416",2021-08-03,Aug 2021,"Clark Fork River above Little Blackfoot",238.857142857143,61.8095238095238,2021
"417",2021-09-01,Sep 2021,"Clark Fork River above Little Blackfoot",144.857142857143,46.8095238095238,2021
"418",2022-07-15,Jul 2022,"Clark Fork River above Little Blackfoot",51.6179157894737,74.1052631578947,2022
"419",2022-08-03,Aug 2022,"Clark Fork River above Little Blackfoot",75.0967476190476,115.095238095238,2022
"420",2022-09-03,Sep 2022,"Clark Fork River above Little Blackfoot",99.2602409090909,102.863636363636,2022
"421",2008-08-01,Aug 2008,"Clark Fork River above Missoula",76.2352941176471,29.22,2008
"422",2008-09-01,Sep 2008,"Clark Fork River above Missoula",80.1904761904762,19.7428571428571,2008
"423",2009-08-03,Aug 2009,"Clark Fork River above Missoula",116.952380952381,33.7,2009
"424",2009-09-04,Sep 2009,"Clark Fork River above Missoula",148.045454545455,41.7142857142857,2009
"425",2010-08-01,Aug 2010,"Clark Fork River above Missoula",120.95,50.2857142857143,2010
"426",2010-09-10,Sep 2010,"Clark Fork River above Missoula",71.9826086956522,30.7272727272727,2010
"427",2011-08-03,Aug 2011,"Clark Fork River above Missoula",24.0769230769231,9.78571428571429,2011
"428",2011-09-05,Sep 2011,"Clark Fork River above Missoula",51.4761904761905,25.3333333333333,2011
"429",2012-08-03,Aug 2012,"Clark Fork River above Missoula",83.65,38.75,2012
"430",2012-09-03,Sep 2012,"Clark Fork River above Missoula",63.2857142857143,27.4285714285714,2012
"431",2013-08-03,Aug 2013,"Clark Fork River above Missoula",74.3809523809524,34.4761904761905,2013
"432",2013-09-02,Sep 2013,"Clark Fork River above Missoula",93.3809523809524,37.9523809523809,2013
"433",2014-08-16,Aug 2014,"Clark Fork River above Missoula",92.1666666666667,36.3166666666667,2014
"434",2015-07-03,Jul 2015,"Clark Fork River above Missoula",116.814814814815,91.5925925925926,2015
"435",2015-08-03,Aug 2015,"Clark Fork River above Missoula",61.7619047619048,22.047619047619,2015
"436",2015-09-04,Sep 2015,"Clark Fork River above Missoula",76.0952380952381,27.952380952381,2015
"437",2016-07-12,Jul 2016,"Clark Fork River above Missoula",114.755813953488,76.1009302325581,2016
"438",2016-08-31,Aug 2016,"Clark Fork River above Missoula",67.7619047619048,28.4857142857143,2016
"439",2017-07-06,Jul 2017,"Clark Fork River above Missoula",28.3611111111111,18.2444444444444,2017
"440",2017-08-04,Aug 2017,"Clark Fork River above Missoula",106.614285714286,56.6,2017
"441",2017-09-01,Sep 2017,"Clark Fork River above Missoula",68.8285714285714,47.5333333333333,2017
"442",2018-08-06,Aug 2018,"Clark Fork River above Missoula",97.5476190476191,22.1238095238095,2018
"443",2018-09-10,Sep 2018,"Clark Fork River above Missoula",66.7571428571429,17.1428571428571,2018
"444",2019-07-20,Jul 2019,"Clark Fork River above Missoula",122.800609756098,79.8401951219512,2019
"445",2019-08-04,Aug 2019,"Clark Fork River above Missoula",108.2,53.4361904761905,2019
"446",2019-09-02,Sep 2019,"Clark Fork River above Missoula",101.85,29.7142857142857,2019
"447",2020-08-06,Aug 2020,"Clark Fork River above Missoula",119.346666666667,117.93375,2020
"448",2020-09-03,Sep 2020,"Clark Fork River above Missoula",92.82,36.9171428571429,2020
"449",2021-08-05,Aug 2021,"Clark Fork River above Missoula",196.857142857143,45.1904761904762,2021
"450",2021-09-04,Sep 2021,"Clark Fork River above Missoula",103.761904761905,46.3333333333333,2021
"451",2022-07-24,Jul 2022,"Clark Fork River above Missoula",88.9281756097561,29.7073170731707,2022
"452",2022-09-01,Sep 2022,"Clark Fork River above Missoula",95.7108761904762,40.7142857142857,2022
"453",2008-08-01,Aug 2008,"Clark Fork River at Bonita",112.75,103.72,2008
"454",2008-09-01,Sep 2008,"Clark Fork River at Bonita",259.473684210526,61.085,2008
"455",2009-08-01,Aug 2009,"Clark Fork River at Bonita",144.857142857143,111.7,2009
"456",2009-09-06,Sep 2009,"Clark Fork River at Bonita",225.619047619048,56.35,2009
"457",2010-08-01,Aug 2010,"Clark Fork River at Bonita",61.9894736842105,68.6842105263158,2010
"458",2010-09-10,Sep 2010,"Clark Fork River at Bonita",138.357142857143,82.45,2010
"459",2011-08-01,Aug 2011,"Clark Fork River at Bonita",34.875,16.4444444444444,2011
"460",2011-09-03,Sep 2011,"Clark Fork River at Bonita",69.5555555555556,17.2,2011
"461",2012-07-31,Jul 2012,"Clark Fork River at Bonita",216.142857142857,122.761904761905,2012
"462",2012-09-01,Sep 2012,"Clark Fork River at Bonita",167.85,71.2857142857143,2012
"463",2013-06-28,Jun 2013,"Clark Fork River at Bonita",99,78.0952380952381,2013
"464",2013-08-04,Aug 2013,"Clark Fork River at Bonita",111.952380952381,60.6190476190476,2013
"465",2013-09-01,Sep 2013,"Clark Fork River at Bonita",119.619047619048,63.4761904761905,2013
"466",2014-08-16,Aug 2014,"Clark Fork River at Bonita",129.372093023256,79.1976744186046,2014
"467",2015-07-01,Jul 2015,"Clark Fork River at Bonita",68.9047619047619,97.7619047619048,2015
"468",2015-08-01,Aug 2015,"Clark Fork River at Bonita",179.15,151.9,2015
"469",2015-09-07,Sep 2015,"Clark Fork River at Bonita",57.0476190476191,26.5238095238095,2015
"470",2016-07-17,Jul 2016,"Clark Fork River at Bonita",185.351351351351,178.800810810811,2016
"471",2016-09-04,Sep 2016,"Clark Fork River at Bonita",96.2727272727273,60.1045454545455,2016
"472",2017-07-05,Jul 2017,"Clark Fork River at Bonita",21.7352941176471,24.0823529411765,2017
"473",2017-08-02,Aug 2017,"Clark Fork River at Bonita",25.8619047619048,16.0428571428571,2017
"474",2017-09-03,Sep 2017,"Clark Fork River at Bonita",58.452380952381,31.1619047619048,2017
"475",2018-08-04,Aug 2018,"Clark Fork River at Bonita",24.3714285714286,27.9714285714286,2018
"476",2018-09-04,Sep 2018,"Clark Fork River at Bonita",65.2285714285714,14.6761904761905,2018
"477",2019-07-23,Jul 2019,"Clark Fork River at Bonita",69.4168888888889,72.5528,2019
"478",2019-08-30,Aug 2019,"Clark Fork River at Bonita",117.65,55.8133333333333,2019
"479",2020-07-24,Jul 2020,"Clark Fork River at Bonita",55.5865,77.2117647058824,2020
"480",2020-08-05,Aug 2020,"Clark Fork River at Bonita",69.3933333333333,27.5190476190476,2020
"481",2020-09-01,Sep 2020,"Clark Fork River at Bonita",144.493333333333,29.922380952381,2020
"482",2021-07-13,Jul 2021,"Clark Fork River at Bonita",186.272727272727,137.136363636364,2021
"483",2021-08-03,Aug 2021,"Clark Fork River at Bonita",185,96.4285714285714,2021
"484",2021-09-01,Sep 2021,"Clark Fork River at Bonita",185.761904761905,66.6190476190476,2021
"485",2022-07-15,Jul 2022,"Clark Fork River at Bonita",66.8821666666667,62.6190476190476,2022
"486",2022-08-03,Aug 2022,"Clark Fork River at Bonita",145.048280952381,39.7142857142857,2022
"487",2022-09-01,Sep 2022,"Clark Fork River at Bonita",87.8959476190476,43.2380952380952,2022
"488",2008-08-01,Aug 2008,"Clark Fork River at Deer Lodge",172.071428571429,79.7714285714286,2008
"489",2008-09-01,Sep 2008,"Clark Fork River at Deer Lodge",200.85,45.145,2008
"490",2009-08-01,Aug 2009,"Clark Fork River at Deer Lodge",181.047619047619,51.1,2009
"491",2009-09-06,Sep 2009,"Clark Fork River at Deer Lodge",502.904761904762,91.8,2009
"492",2010-08-01,Aug 2010,"Clark Fork River at Deer Lodge",54.8684210526316,39.375,2010
"493",2010-09-10,Sep 2010,"Clark Fork River at Deer Lodge",155.67,46,2010
"494",2011-08-01,Aug 2011,"Clark Fork River at Deer Lodge",66.1904761904762,16.2380952380952,2011
"495",2011-09-03,Sep 2011,"Clark Fork River at Deer Lodge",44.7647058823529,11.1111111111111,2011
"496",2012-07-31,Jul 2012,"Clark Fork River at Deer Lodge",110.095238095238,50.0476190476191,2012
"497",2012-09-01,Sep 2012,"Clark Fork River at Deer Lodge",180.714285714286,58.3333333333333,2012
"498",2013-06-28,Jun 2013,"Clark Fork River at Deer Lodge",244.9,71.35,2013
"499",2013-08-04,Aug 2013,"Clark Fork River at Deer Lodge",331.448275862069,110.571428571429,2013
"500",2013-09-01,Sep 2013,"Clark Fork River at Deer Lodge",168.115384615385,80.9615384615385,2013
"501",2014-08-16,Aug 2014,"Clark Fork River at Deer Lodge",225.066666666667,65.1333333333333,2014
"502",2015-07-01,Jul 2015,"Clark Fork River at Deer Lodge",188.904761904762,74.1904761904762,2015
"503",2015-08-01,Aug 2015,"Clark Fork River at Deer Lodge",235.285714285714,103.142857142857,2015
"504",2015-09-05,Sep 2015,"Clark Fork River at Deer Lodge",158.380952380952,50.8571428571429,2015
"505",2016-07-17,Jul 2016,"Clark Fork River at Deer Lodge",389.102325581395,118.621162790698,2016
"506",2016-09-04,Sep 2016,"Clark Fork River at Deer Lodge",260.690476190476,81.25,2016
"507",2017-07-05,Jul 2017,"Clark Fork River at Deer Lodge",105.97619047619,53.1,2017
"508",2017-08-02,Aug 2017,"Clark Fork River at Deer Lodge",190.585714285714,99.5619047619048,2017
"509",2017-09-03,Sep 2017,"Clark Fork River at Deer Lodge",76.8666666666667,61.252380952381,2017
"510",2018-08-04,Aug 2018,"Clark Fork River at Deer Lodge",75.8,43.4846153846154,2018
"511",2018-09-04,Sep 2018,"Clark Fork River at Deer Lodge",74.2333333333333,28.5952380952381,2018
"512",2019-07-22,Jul 2019,"Clark Fork River at Deer Lodge",201.985260771429,66.8725623583333,2019
"513",2019-08-30,Aug 2019,"Clark Fork River at Deer Lodge",188.972727273913,75.8909090908696,2019
"514",2020-07-24,Jul 2020,"Clark Fork River at Deer Lodge",103.028666666667,33.006,2020
"515",2020-08-05,Aug 2020,"Clark Fork River at Deer Lodge",274.349375,75.960625,2020
"516",2020-09-01,Sep 2020,"Clark Fork River at Deer Lodge",101.877142857143,38.1595238095238,2020
"517",2021-07-13,Jul 2021,"Clark Fork River at Deer Lodge",120.428571428571,41.9047619047619,2021
"518",2021-08-03,Aug 2021,"Clark Fork River at Deer Lodge",139.571428571429,37.1904761904762,2021
"519",2021-09-02,Sep 2021,"Clark Fork River at Deer Lodge",101.487804878049,30.8095238095238,2021
"520",2022-07-15,Jul 2022,"Clark Fork River at Deer Lodge",187.839265,33.55,2022
"521",2022-08-03,Aug 2022,"Clark Fork River at Deer Lodge",175.938995833333,87.0833333333333,2022
"522",2022-09-03,Sep 2022,"Clark Fork River at Deer Lodge",208.5242,201.695652173913,2022
"523",2008-08-01,Aug 2008,"Clark Fork River at Huson",11.05,6.205,2008
"524",2008-09-01,Sep 2008,"Clark Fork River at Huson",43.15,7.725,2008
"525",2009-08-02,Aug 2009,"Clark Fork River at Huson",39.1904761904762,9.6,2009
"526",2009-09-05,Sep 2009,"Clark Fork River at Huson",51.3333333333333,14.5789473684211,2009
"527",2010-08-01,Aug 2010,"Clark Fork River at Huson",63.7454545454545,20.4285714285714,2010
"528",2010-09-10,Sep 2010,"Clark Fork River at Huson",93.3285714285714,24.15,2010
"529",2011-08-02,Aug 2011,"Clark Fork River at Huson",16.8095238095238,6.8,2011
"530",2011-09-04,Sep 2011,"Clark Fork River at Huson",60,10.6666666666667,2011
"531",2012-08-01,Aug 2012,"Clark Fork River at Huson",25.3333333333333,5.33333333333333,2012
"532",2012-09-02,Sep 2012,"Clark Fork River at Huson",47.3333333333333,9.38095238095238,2012
"533",2013-07-31,Jul 2013,"Clark Fork River at Huson",14,5.28571428571429,2013
"534",2013-08-31,Aug 2013,"Clark Fork River at Huson",22.8571428571429,4.23809523809524,2013
"535",2014-08-15,Aug 2014,"Clark Fork River at Huson",25.3243243243243,9.13421052631579,2014
"536",2015-08-02,Aug 2015,"Clark Fork River at Huson",15.8888888888889,6.1,2015
"537",2015-09-06,Sep 2015,"Clark Fork River at Huson",93.7619047619048,14.047619047619,2015
"538",2016-07-29,Jul 2016,"Clark Fork River at Huson",40.0714285714286,15.7,2016
"539",2016-09-03,Sep 2016,"Clark Fork River at Huson",70.3333333333333,15.6047619047619,2016
"540",2017-08-01,Aug 2017,"Clark Fork River at Huson",25.82,8.97,2017
"541",2017-09-02,Sep 2017,"Clark Fork River at Huson",35.1857142857143,12.1714285714286,2017
"542",2018-08-03,Aug 2018,"Clark Fork River at Huson",26.8571428571429,10.1380952380952,2018
"543",2018-09-05,Sep 2018,"Clark Fork River at Huson",28.7571428571429,7.35714285714286,2018
"544",2019-08-02,Aug 2019,"Clark Fork River at Huson",29.04275,9.0455,2019
"545",2019-09-01,Sep 2019,"Clark Fork River at Huson",68.1,17.25,2019
"546",2020-08-03,Aug 2020,"Clark Fork River at Huson",35.8461904761905,11.6871428571429,2020
"547",2020-09-02,Sep 2020,"Clark Fork River at Huson",80.8466666666667,20.1538095238095,2020
"548",2021-08-04,Aug 2021,"Clark Fork River at Huson",62.9523809523809,16.1904761904762,2021
"549",2021-09-02,Sep 2021,"Clark Fork River at Huson",363.714285714286,64.8095238095238,2021
"550",2022-08-01,Aug 2022,"Clark Fork River at Huson",43.62551875,14.6875,2022
"551",2022-09-02,Sep 2022,"Clark Fork River at Huson",68.8747619047619,23.047619047619,2022
"552",2008-08-01,Aug 2008,"Clark Fork River below Missoula",62.85,15.315,2008
"553",2008-09-01,Sep 2008,"Clark Fork River below Missoula",73.2,13.565,2008
"554",2009-08-03,Aug 2009,"Clark Fork River below Missoula",38,10.75,2009
"555",2009-09-07,Sep 2009,"Clark Fork River below Missoula",360.761904761905,40.7,2009
"556",2010-08-01,Aug 2010,"Clark Fork River below Missoula",66.4047619047619,20.5263157894737,2010
"557",2010-09-10,Sep 2010,"Clark Fork River below Missoula",138.828571428571,31.95,2010
"558",2011-08-03,Aug 2011,"Clark Fork River below Missoula",44.2857142857143,13.0952380952381,2011
"559",2011-09-05,Sep 2011,"Clark Fork River below Missoula",39.3333333333333,8.42857142857143,2011
"560",2012-08-02,Aug 2012,"Clark Fork River below Missoula",32.7619047619048,12.047619047619,2012
"561",2012-09-03,Sep 2012,"Clark Fork River below Missoula",161.380952380952,27.8095238095238,2012
"562",2013-08-01,Aug 2013,"Clark Fork River below Missoula",22.8095238095238,8.04761904761905,2013
"563",2013-09-02,Sep 2013,"Clark Fork River below Missoula",81.4285714285714,14.4761904761905,2013
"564",2014-07-31,Jul 2014,"Clark Fork River below Missoula",44.1578947368421,14.6368421052632,2014
"565",2014-09-01,Sep 2014,"Clark Fork River below Missoula",123.666666666667,19.5380952380952,2014
"566",2015-07-04,Jul 2015,"Clark Fork River below Missoula",228.125,64.375,2015
"567",2015-08-03,Aug 2015,"Clark Fork River below Missoula",100.238095238095,24.7619047619048,2015
"568",2015-09-07,Sep 2015,"Clark Fork River below Missoula",76.3333333333333,16.3333333333333,2015
"569",2016-07-13,Jul 2016,"Clark Fork River below Missoula",252.7425,70.22975,2016
"570",2016-09-02,Sep 2016,"Clark Fork River below Missoula",285.761904761905,51.0238095238095,2016
"571",2017-07-04,Jul 2017,"Clark Fork River below Missoula",13.5047619047619,5.07142857142857,2017
"572",2017-08-05,Aug 2017,"Clark Fork River below Missoula",24.9904761904762,6.58571428571429,2017
"573",2017-09-01,Sep 2017,"Clark Fork River below Missoula",175.838095238095,47.0190476190476,2017
"574",2018-08-05,Aug 2018,"Clark Fork River below Missoula",42.5105263157895,11.4631578947368,2018
"575",2018-09-10,Sep 2018,"Clark Fork River below Missoula",148.361904761905,23.2666666666667,2018
"576",2019-08-03,Aug 2019,"Clark Fork River below Missoula",44.315,15.06725,2019
"577",2019-09-03,Sep 2019,"Clark Fork River below Missoula",253.4,58.55,2019
"578",2020-08-04,Aug 2020,"Clark Fork River below Missoula",55.1357142857143,17.4209523809524,2020
"579",2020-09-02,Sep 2020,"Clark Fork River below Missoula",116.385714285714,24.8833333333333,2020
"580",2021-07-14,Jul 2021,"Clark Fork River below Missoula",57.3333333333333,16.3809523809524,2021
"581",2021-08-02,Aug 2021,"Clark Fork River below Missoula",59.1904761904762,14.047619047619,2021
"582",2022-07-25,Jul 2022,"Clark Fork River below Missoula",53.8609571428571,16.7142857142857,2022
"583",2022-09-02,Sep 2022,"Clark Fork River below Missoula",116.164061904762,21.047619047619,2022
