ActivityStartDate,MonitoringLocationName,CharacteristicName,ResultMeasureValue,
7/2/2019,Clark Fork River at Deer Lodge,Ammonia,0.03,
8/6/2019,Clark Fork River at Huson,Ammonia,0.03,
8/1/2022,Clark Fork River above Flathead,Ammonia,0.03,
8/24/2021,Clark Fork River at Deer Lodge,Ammonia,0.03,
7/31/2022,Clark Fork River above Missoula,Ammonia,0.03,
8/6/2019,Clark Fork River above Flathead,Ammonia,0.03,
8/5/2019,Clark Fork River at Deer Lodge,Ammonia,0.03,
8/5/2019,Clark Fork River above Little Blackfoot,Ammonia,0.03,
8/5/2019,Clark Fork River at Bonita,Ammonia,0.03,
8/28/2008,Clark Fork River below Missoula,Ammonia,0.04,
8/14/2008,Clark Fork River below Missoula,Ammonia,0.04,
8/21/2008,Clark Fork River below Missoula,Ammonia,0.04,
6/11/2008,Clark Fork River above Little Blackfoot,Ammonia,0.04,
6/11/2008,Clark Fork River at Deer Lodge,Ammonia,0.05,
8/27/2009,Clark Fork River above Flathead,Ammonia,0.00316,3.16
8/5/2009,Clark Fork River at Bonita,Ammonia,0.00344,3.44
7/1/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00347,3.47
8/6/2009,Clark Fork River above Flathead,Ammonia,0.00377,3.77
6/25/2009,Clark Fork River below Missoula,Ammonia,0.00389,3.89
7/16/2009,Clark Fork River above Flathead,Ammonia,0.00396,3.96
8/5/2009,Clark Fork River above Missoula,Ammonia,0.00403,4.03
7/16/2009,Clark Fork River at Huson,Ammonia,0.00408,4.08
7/1/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00415,4.15
7/2/2009,Clark Fork River below Missoula,Ammonia,0.00449,4.49
8/12/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00464,4.64
8/27/2009,Clark Fork River above Flathead,Ammonia,0.00473,4.73
8/5/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00491,4.91
9/16/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00495,4.95
8/27/2009,Clark Fork River below Missoula,Ammonia,0.00497,4.97
7/1/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00521,5.21
7/1/2009,Clark Fork River at Bonita,Ammonia,0.0053,5.3
7/2/2015,Clark Fork River above Flathead,Ammonia,0.0053,5.3
9/6/2015,Clark Fork River above Flathead,Ammonia,0.0054,5.4
7/27/2011,Clark Fork River above Little Blackfoot,Ammonia,0.0054,5.4
7/15/2009,Clark Fork River at Deer Lodge,Ammonia,0.00547,5.47
9/15/2010,Clark Fork River above Missoula,Ammonia,0.0055,5.5
7/2/2015,Clark Fork River at Huson,Ammonia,0.0055,5.5
9/20/2011,Clark Fork River at Bonita,Ammonia,0.0056,5.6
7/27/2011,Clark Fork River at Bonita,Ammonia,0.0056,5.6
9/15/2011,Clark Fork River above Flathead,Ammonia,0.0056,5.6
8/19/2010,Clark Fork River above Flathead,Ammonia,0.0056,5.6
9/10/2009,Clark Fork River below Missoula,Ammonia,0.00567,5.67
8/19/2015,Clark Fork River at Deer Lodge,Ammonia,0.0057,5.7
9/15/2010,Clark Fork River at Bonita,Ammonia,0.0057,5.7
7/1/2009,Clark Fork River at Deer Lodge,Ammonia,0.0057,5.7
8/11/2010,Clark Fork River above Little Blackfoot,Ammonia,0.0057,5.7
7/25/2012,Clark Fork River at Bonita,Ammonia,0.00573,5.73
8/6/2009,Clark Fork River at Huson,Ammonia,0.00578,5.78
7/15/2015,Clark Fork River above Little Blackfoot,Ammonia,0.0058,5.8
9/16/2010,Clark Fork River below Missoula,Ammonia,0.0058,5.8
6/27/2012,Clark Fork River at Deer Lodge,Ammonia,0.00583,5.83
8/18/2010,Clark Fork River at Bonita,Ammonia,0.0059,5.9
6/21/2012,Clark Fork River above Flathead,Ammonia,0.0059,5.9
8/11/2016,Clark Fork River below Missoula,Ammonia,0.006,6
9/8/2010,Clark Fork River at Deer Lodge,Ammonia,0.006,6
6/27/2012,Clark Fork River above Missoula,Ammonia,0.00602,6.02
9/13/2012,Clark Fork River above Flathead,Ammonia,0.00607,6.07
8/14/2012,Clark Fork River at Deer Lodge,Ammonia,0.00609,6.09
9/23/2015,Clark Fork River above Missoula,Ammonia,0.0061,6.1
8/14/2012,Clark Fork River above Missoula,Ammonia,0.00618,6.18
8/12/2009,Clark Fork River above Missoula,Ammonia,0.0062,6.2
9/23/2015,Clark Fork River at Deer Lodge,Ammonia,0.0062,6.2
7/27/2011,Clark Fork River at Deer Lodge,Ammonia,0.0062,6.2
7/30/2009,Clark Fork River below Missoula,Ammonia,0.00622,6.22
7/26/2012,Clark Fork River above Flathead,Ammonia,0.00623,6.23
8/30/2012,Clark Fork River above Flathead,Ammonia,0.00624,6.24
8/29/2012,Clark Fork River above Little Blackfoot,Ammonia,0.00629,6.29
9/1/2010,Clark Fork River at Bonita,Ammonia,0.0063,6.3
9/6/2012,Clark Fork River below Missoula,Ammonia,0.0063,6.3
8/18/2010,Clark Fork River above Little Blackfoot,Ammonia,0.0063,6.3
6/30/2011,Clark Fork River below Missoula,Ammonia,0.0064,6.4
8/11/2010,Clark Fork River at Deer Lodge,Ammonia,0.0064,6.4
8/18/2011,Clark Fork River above Flathead,Ammonia,0.0064,6.4
6/21/2012,Clark Fork River below Missoula,Ammonia,0.00642,6.42
8/6/2009,Clark Fork River below Missoula,Ammonia,0.00645,6.45
8/12/2009,Clark Fork River at Deer Lodge,Ammonia,0.00645,6.45
7/12/2017,Clark Fork River below Missoula,Ammonia,0.0065,6.5
8/24/2011,Clark Fork River at Bonita,Ammonia,0.0065,6.5
9/5/2012,Clark Fork River above Missoula,Ammonia,0.0065,6.5
6/28/2012,Clark Fork River below Missoula,Ammonia,0.00657,6.57
9/1/2010,Clark Fork River above Missoula,Ammonia,0.0066,6.6
8/30/2012,Clark Fork River at Huson,Ammonia,0.0066,6.6
8/14/2012,Clark Fork River at Bonita,Ammonia,0.00667,6.67
7/15/2015,Clark Fork River at Bonita,Ammonia,0.0067,6.7
8/3/2018,Clark Fork River above Flathead,Ammonia,0.0067,6.7
7/24/2018,Clark Fork River at Bonita,Ammonia,0.0067,6.7
8/19/2010,Clark Fork River above Flathead,Ammonia,0.0067,6.7
7/31/2013,Clark Fork River at Huson,Ammonia,0.00674,6.74
8/15/2012,Clark Fork River below Missoula,Ammonia,0.00674,6.74
7/15/2015,Clark Fork River above Missoula,Ammonia,0.0068,6.8
7/6/2016,Clark Fork River at Bonita,Ammonia,0.0068,6.8
9/2/2010,Clark Fork River below Missoula,Ammonia,0.0068,6.8
9/14/2011,Clark Fork River at Bonita,Ammonia,0.0068,6.8
9/20/2011,Clark Fork River at Deer Lodge,Ammonia,0.0068,6.8
9/24/2015,Clark Fork River above Flathead,Ammonia,0.0068,6.8
8/11/2011,Clark Fork River above Flathead,Ammonia,0.0068,6.8
7/16/2009,Clark Fork River below Missoula,Ammonia,0.00689,6.89
8/26/2009,Clark Fork River above Missoula,Ammonia,0.00692,6.92
7/25/2012,Clark Fork River above Little Blackfoot,Ammonia,0.00692,6.92
6/24/2009,Clark Fork River above Missoula,Ammonia,0.00702,7.02
8/7/2013,Clark Fork River above Little Blackfoot,Ammonia,0.00702,7.02
7/7/2016,Clark Fork River below Missoula,Ammonia,0.0071,7.1
9/21/2011,Clark Fork River above Flathead,Ammonia,0.0071,7.1
8/11/2016,Clark Fork River at Huson,Ammonia,0.0072,7.2
9/21/2011,Clark Fork River below Missoula,Ammonia,0.0072,7.2
7/22/2010,Clark Fork River at Huson,Ammonia,0.0072,7.2
9/9/2009,Clark Fork River at Bonita,Ammonia,0.00727,7.27
8/10/2016,Clark Fork River above Little Blackfoot,Ammonia,0.0073,7.3
8/8/2017,Clark Fork River above Little Blackfoot,Ammonia,0.0073,7.3
9/14/2011,Clark Fork River above Little Blackfoot,Ammonia,0.0073,7.3
8/7/2013,Clark Fork River above Little Blackfoot,Ammonia,0.00736,7.36
8/13/2009,Clark Fork River above Flathead,Ammonia,0.00737,7.37
7/15/2015,Clark Fork River at Bonita,Ammonia,0.0074,7.4
6/28/2012,Clark Fork River at Huson,Ammonia,0.0074,7.4
9/21/2011,Clark Fork River at Huson,Ammonia,0.0074,7.4
7/28/2011,Clark Fork River above Flathead,Ammonia,0.0074,7.4
8/12/2009,Clark Fork River at Bonita,Ammonia,0.00748,7.48
7/2/2015,Clark Fork River below Missoula,Ammonia,0.0075,7.5
8/4/2010,Clark Fork River above Missoula,Ammonia,0.0075,7.5
8/24/2016,Clark Fork River at Bonita,Ammonia,0.0075,7.5
8/12/2010,Clark Fork River at Huson,Ammonia,0.0075,7.5
8/11/2011,Clark Fork River at Huson,Ammonia,0.0075,7.5
9/4/2013,Clark Fork River above Little Blackfoot,Ammonia,0.00754,7.54
9/12/2012,Clark Fork River above Missoula,Ammonia,0.00756,7.56
7/16/2015,Clark Fork River at Huson,Ammonia,0.0076,7.6
9/6/2012,Clark Fork River below Missoula,Ammonia,0.00763,7.63
8/21/2013,Clark Fork River at Bonita,Ammonia,0.00764,7.64
7/15/2009,Clark Fork River at Bonita,Ammonia,0.00765,7.65
8/24/2011,Clark Fork River above Missoula,Ammonia,0.0077,7.7
8/4/2018,Clark Fork River above Little Blackfoot,Ammonia,0.0077,7.7
9/17/2014,Clark Fork River above Little Blackfoot,Ammonia,0.0078,7.8
8/4/2010,Clark Fork River at Deer Lodge,Ammonia,0.0078,7.8
9/9/2009,Clark Fork River above Missoula,Ammonia,0.00784,7.84
8/29/2012,Clark Fork River above Missoula,Ammonia,0.00784,7.84
6/24/2009,Clark Fork River at Bonita,Ammonia,0.00785,7.85
8/9/2012,Clark Fork River above Flathead,Ammonia,0.00786,7.86
7/8/2010,Clark Fork River below Missoula,Ammonia,0.0079,7.9
9/19/2017,Clark Fork River above Little Blackfoot,Ammonia,0.0079,7.9
8/29/2012,Clark Fork River at Deer Lodge,Ammonia,0.00794,7.94
7/1/2015,Clark Fork River above Missoula,Ammonia,0.008,8
7/1/2015,Clark Fork River at Bonita,Ammonia,0.008,8
9/4/2018,Clark Fork River at Deer Lodge,Ammonia,0.008,8
7/16/2014,Clark Fork River above Missoula,Ammonia,0.008,8
7/7/2010,Clark Fork River at Bonita,Ammonia,0.008,8
7/12/2017,Clark Fork River above Flathead,Ammonia,0.008,8
7/15/2010,Clark Fork River above Flathead,Ammonia,0.008,8
9/10/2009,Clark Fork River above Flathead,Ammonia,0.00807,8.07
7/15/2015,Clark Fork River at Bonita,Ammonia,0.0081,8.1
8/24/2016,Clark Fork River above Little Blackfoot,Ammonia,0.0081,8.1
6/24/2009,Clark Fork River above Missoula,Ammonia,0.00813,8.13
9/4/2013,Clark Fork River above Missoula,Ammonia,0.00813,8.13
6/28/2012,Clark Fork River above Flathead,Ammonia,0.00815,8.15
9/9/2015,Clark Fork River above Missoula,Ammonia,0.0082,8.2
8/21/2014,Clark Fork River below Missoula,Ammonia,0.0082,8.2
8/21/2013,Clark Fork River above Little Blackfoot,Ammonia,0.0082,8.2
8/20/2015,Clark Fork River above Flathead,Ammonia,0.0082,8.2
9/14/2011,Clark Fork River at Deer Lodge,Ammonia,0.0082,8.2
7/20/2016,Clark Fork River at Bonita,Ammonia,0.0083,8.3
7/29/2009,Clark Fork River above Little Blackfoot,Ammonia,0.00837,8.37
9/19/2013,Clark Fork River at Huson,Ammonia,0.00838,8.38
8/20/2015,Clark Fork River at Huson,Ammonia,0.0084,8.4
7/21/2010,Clark Fork River above Missoula,Ammonia,0.0084,8.4
7/14/2011,Clark Fork River at Huson,Ammonia,0.0084,8.4
7/25/2018,Clark Fork River above Flathead,Ammonia,0.0084,8.4
9/10/2009,Clark Fork River below Missoula,Ammonia,0.00844,8.44
9/5/2012,Clark Fork River at Deer Lodge,Ammonia,0.00847,8.47
9/17/2009,Clark Fork River above Flathead,Ammonia,0.00859,8.59
8/20/2014,Clark Fork River above Missoula,Ammonia,0.0086,8.6
7/15/2010,Clark Fork River below Missoula,Ammonia,0.0086,8.6
8/8/2017,Clark Fork River above Missoula,Ammonia,0.0086,8.6
7/29/2009,Clark Fork River above Missoula,Ammonia,0.00862,8.62
7/11/2012,Clark Fork River at Bonita,Ammonia,0.00866,8.66
7/21/2016,Clark Fork River below Missoula,Ammonia,0.0087,8.7
8/22/2013,Clark Fork River above Flathead,Ammonia,0.00873,8.73
7/11/2011,Clark Fork River above Missoula,Ammonia,0.0088,8.8
8/9/2017,Clark Fork River below Missoula,Ammonia,0.0088,8.8
9/14/2011,Clark Fork River above Missoula,Ammonia,0.0088,8.8
7/28/2011,Clark Fork River below Missoula,Ammonia,0.0088,8.8
6/30/2011,Clark Fork River at Huson,Ammonia,0.0088,8.8
7/14/2010,Clark Fork River above Little Blackfoot,Ammonia,0.0088,8.8
7/15/2010,Clark Fork River at Huson,Ammonia,0.0088,8.8
7/8/2010,Clark Fork River above Flathead,Ammonia,0.0088,8.8
8/15/2012,Clark Fork River above Flathead,Ammonia,0.00889,8.89
9/17/2014,Clark Fork River at Bonita,Ammonia,0.0089,8.9
8/8/2017,Clark Fork River above Little Blackfoot,Ammonia,0.0089,8.9
7/12/2017,Clark Fork River at Huson,Ammonia,0.0089,8.9
9/1/2010,Clark Fork River at Deer Lodge,Ammonia,0.0089,8.9
8/4/2018,Clark Fork River at Bonita,Ammonia,0.0089,8.9
7/18/2012,Clark Fork River at Bonita,Ammonia,0.00894,8.94
7/20/2016,Clark Fork River at Bonita,Ammonia,0.009,9
8/10/2016,Clark Fork River above Little Blackfoot,Ammonia,0.009,9
9/20/2017,Clark Fork River at Huson,Ammonia,0.009,9
9/5/2018,Clark Fork River above Flathead,Ammonia,0.009,9
7/7/2010,Clark Fork River at Deer Lodge,Ammonia,0.009,9
9/10/2009,Clark Fork River at Huson,Ammonia,0.00905,9.05
9/2/2009,Clark Fork River above Missoula,Ammonia,0.00906,9.06
9/6/2017,Clark Fork River below Missoula,Ammonia,0.0091,9.1
8/19/2015,Clark Fork River at Deer Lodge,Ammonia,0.0091,9.1
7/16/2014,Clark Fork River at Deer Lodge,Ammonia,0.0091,9.1
8/8/2012,Clark Fork River at Deer Lodge,Ammonia,0.00911,9.11
9/2/2009,Clark Fork River at Bonita,Ammonia,0.00916,9.16
7/10/2013,Clark Fork River above Missoula,Ammonia,0.00919,9.19
7/22/2010,Clark Fork River below Missoula,Ammonia,0.0092,9.2
8/20/2014,Clark Fork River at Bonita,Ammonia,0.0092,9.2
7/16/2014,Clark Fork River above Little Blackfoot,Ammonia,0.0092,9.2
6/24/2010,Clark Fork River at Huson,Ammonia,0.0092,9.2
9/17/2009,Clark Fork River above Flathead,Ammonia,0.0092,9.2
7/11/2012,Clark Fork River above Little Blackfoot,Ammonia,0.00924,9.24
8/30/2014,Clark Fork River above Flathead,Ammonia,0.0093,9.3
8/4/2018,Clark Fork River at Deer Lodge,Ammonia,0.0093,9.3
9/3/2009,Clark Fork River at Huson,Ammonia,0.0093,9.3
7/21/2011,Clark Fork River at Huson,Ammonia,0.0093,9.3
7/24/2018,Clark Fork River at Bonita,Ammonia,0.0093,9.3
9/4/2018,Clark Fork River at Bonita,Ammonia,0.0093,9.3
7/18/2012,Clark Fork River above Missoula,Ammonia,0.00932,9.32
9/9/2009,Clark Fork River above Missoula,Ammonia,0.00933,9.33
7/27/2017,Clark Fork River below Missoula,Ammonia,0.0094,9.4
8/12/2010,Clark Fork River below Missoula,Ammonia,0.0094,9.4
8/4/2010,Clark Fork River at Bonita,Ammonia,0.0094,9.4
7/11/2018,Clark Fork River above Flathead,Ammonia,0.0094,9.4
7/3/2014,Clark Fork River above Flathead,Ammonia,0.0094,9.4
9/16/2010,Clark Fork River above Flathead,Ammonia,0.0094,9.4
9/9/2009,Clark Fork River at Deer Lodge,Ammonia,0.00943,9.43
8/17/2011,Clark Fork River above Missoula,Ammonia,0.0095,9.5
7/14/2010,Clark Fork River at Bonita,Ammonia,0.0095,9.5
7/24/2018,Clark Fork River at Bonita,Ammonia,0.0095,9.5
9/5/2018,Clark Fork River at Huson,Ammonia,0.0095,9.5
7/11/2012,Clark Fork River above Little Blackfoot,Ammonia,0.00955,9.55
9/5/2017,Clark Fork River above Missoula,Ammonia,0.0096,9.6
8/15/2012,Clark Fork River at Huson,Ammonia,0.00964,9.64
7/11/2012,Clark Fork River at Deer Lodge,Ammonia,0.00966,9.66
7/29/2009,Clark Fork River at Deer Lodge,Ammonia,0.00969,9.69
8/10/2011,Clark Fork River at Bonita,Ammonia,0.0097,9.7
7/1/2015,Clark Fork River at Deer Lodge,Ammonia,0.0097,9.7
7/25/2018,Clark Fork River at Huson,Ammonia,0.0097,9.7
7/24/2018,Clark Fork River at Deer Lodge,Ammonia,0.0097,9.7
8/26/2009,Clark Fork River at Deer Lodge,Ammonia,0.00973,9.73
7/18/2012,Clark Fork River above Little Blackfoot,Ammonia,0.00976,9.76
7/11/2017,Clark Fork River above Missoula,Ammonia,0.0098,9.8
8/5/2010,Clark Fork River below Missoula,Ammonia,0.0098,9.8
8/24/2011,Clark Fork River above Little Blackfoot,Ammonia,0.0098,9.8
9/18/2014,Clark Fork River above Flathead,Ammonia,0.0098,9.8
7/21/2011,Clark Fork River above Flathead,Ammonia,0.0098,9.8
7/21/2010,Clark Fork River at Bonita,Ammonia,0.0099,9.9
7/7/2016,Clark Fork River above Flathead,Ammonia,0.0099,9.9
8/18/2011,Clark Fork River at Huson,Ammonia,0.0099,9.9
8/22/2013,Clark Fork River at Huson,Ammonia,0.00995,9.95
8/25/2016,Clark Fork River at Huson,Ammonia,0.01,10
8/21/2018,Clark Fork River above Missoula,Ammonia,0.01,10
6/20/2012,Clark Fork River at Bonita,Ammonia,0.01002,10.02
9/2/2009,Clark Fork River above Little Blackfoot,Ammonia,0.01006,10.06
7/25/2012,Clark Fork River at Deer Lodge,Ammonia,0.01007,10.07
9/5/2017,Clark Fork River at Deer Lodge,Ammonia,0.0101,10.1
7/14/2010,Clark Fork River above Little Blackfoot,Ammonia,0.0101,10.1
9/19/2013,Clark Fork River below Missoula,Ammonia,0.01013,10.13
