 Agency Code, Station number,Site, Begin date,Day,Month,Year, Begin time, End date, End time, Time datum, Time datum reliability code, Medium code, Taxonomic unit code, Body part code," Stream width, feet"," Temperature, water, degrees Celsius"," Temperature, air, degrees Celsius"," Temperature, air, degrees Fahrenheit"," Barometric pressure, millimeters of mercury"," Weather, World Meteorological Organization (WMO) code"," Discharge, cubic feet per second"," Discharge, instantaneous, cubic feet per second"," Number of sampling points, count"," Gage height, feet"," Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"," Hydrogen ion, water, unfiltered, calculated, milligrams per liter"," pH, water, unfiltered, field, standard units"," pH, water, unfiltered, laboratory, standard units"," Hardness, water, milligrams per liter as calcium carbonate"," Calcium, water, filtered, milligrams per liter"," Magnesium, water, filtered, milligrams per liter"," Arsenic, water, filtered, micrograms per liter"," Arsenic, water, unfiltered, micrograms per liter"," Cadmium, water, filtered, micrograms per liter"," Cadmium, water, unfiltered, micrograms per liter"," Copper, water, filtered, micrograms per liter"," Copper, water, unfiltered, recoverable, micrograms per liter"," Iron, water, unfiltered, recoverable, micrograms per liter"," Iron, water, filtered, micrograms per liter"," Lead, water, filtered, micrograms per liter"," Lead, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, unfiltered, recoverable, micrograms per liter"," Manganese, water, filtered, micrograms per liter"," Zinc, water, filtered, micrograms per liter"," Zinc, water, unfiltered, recoverable, micrograms per liter"," Gage height, above datum, meters"," Discharge, cubic meters per second"," Discharge, instantaneous, cubic meters per second"," Transit rate, sampler, minimum, feet per second"," Transit rate, sampler, feet per second"," Transit rate, sampler, maximum, feet per second"," Site visit purpose, code"," Turbidity, water, unfiltered, monochrome near infra"," Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters"," Sample purpose, code"," Sample location, distance downstream, feet"," Sample location, distance upstream, feet"," Sampler nozzle material, code"," Sampler nozzle diameter, code"," Suspended sediment concentration, milligrams per liter"," Suspended sediment discharge, short tons per day"," Velocity at point in stream, feet per second"," Sampling method, code"," Sampler type, code"," Sample splitter type, field, code"," Bottle or bag sampler material (construction), code"," Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius"," Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, smaller than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, larger than 0.063 mm sieve diameter, sediment mass recovered from whole water sample, dry weight, grams"," Suspended sediment, between 0.063 and 4 mm sieve diameter, sediment mass analyzed for particle size fractions, dry weight, grams"," Type of replicate, code"," Type of quality assurance data associated with sample, code"," Sulfuric acid NWIS lot number, 4.5 N (1:7), 1 mL, National Field Supply Service (NFSS) stock number Q438FLD"," Nitric acid NWIS lot number, 7.5"," Conductance standard NWIS lot number, 50 uS/cm KCl, National Field Supply Service (NFSS) stock number Q42FLD"," Conductance standard NWIS lot number, 100 uS/cm KCl, National Field Supply Service (NFSS) stock number Q43FLD"," Conductance standard NWIS lot number, 500 uS/cm KCl, National Field Supply Service (NFSS) stock number Q45FLD"," Conductance standard NWIS lot number, 750 uS/cm KCl, National Field Supply Service (NFSS) stock number Q46FLD"," Conductance standard NWIS lot number, 1000 uS/cm KCl, National Field Supply Service (NFSS) stock number Q47FLD"," pH 10 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q122FLD, Q123FLD"," pH 4 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q124FLD, Q125FLD"," pH 7 Buffer solution, NWIS lot number, National Field Supply Service (NFSS) stock numbers Q126FLD, Q127FLD"," Lot number, first, inorganic"," NWIS lot number, capsule filter, 0.45 micron"," NWIS lot number, disk filter, 0.45 micron"," Julian date, in"
USGS,12324400,GR,8/18/2009,18,8,2009,12:20,,,MDT,K,WS,,,,15.5,22,,,,,296,,3.35,432, ,8.5,8.2,198,58.5,12.6,19.8,21.6,0.062,0.168,14.1,27.4,364,7.2,0.1,3.34,92,19.9,4.3,21.4,1.02,,8.4,,,,,,76,,,,,,13,10,,10,3044,,,440,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,9/16/2009,16,9,2009,12:35,,,MDT,K,WS,,,,17.7,,,,,,,,2.86,469,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,9/16/2009,16,9,2009,13:00,,,MDT,K,WS,,,,17.7,26.6,,,,,164,,2.86,469,,,,,,,,,,,,,,,,,,,,,0.87,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/14/2009,14,10,2009,12:20,,,MDT,K,WS,,,,5,12.5,,,,,331,,3.44,465, ,8.4,8,214,63.2,13.8,12.4,15.9,0.04,0.219,4.3,35.5,564,4.7,0.044,5.38,118,16.3,5,36,1.05,,9.4,,,,,,58,,,,,,28,25,,10,3044,,,465,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/30/2009,30,10,2009,13:20,,,MDT,K,WS,,,,5.1,,,,,,,,3.66,493,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,12/11/2009,11,12,2009,10:35,,,MST,K,WS,,,,0,,,,,,,,3.07,547,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,1/22/2010,22,1,2010,12:02,,,MST,K,WS,,,,0.4,,,,,,,,4.47,413,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/4/2010,4,3,2010,11:35,,,MST,K,WS,,,,5.1,,,,,,,,3.37,468,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/9/2010,9,3,2010,15:30,,,MST,K,WS,,,,5,1,,,,,284,,3.31,466, ,8.8,8.3,198,57.3,13.3,10.1,12.5,0.08,0.157,6.6,29.7,459,6.5,0.06,3.25,85.8,41.7,2.9,25.3,1.01,,8,,,,,,59,,,,,,25,19,,10,3044,,,461,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/13/2010,13,4,2010,14:05,,,MDT,K,WS,,,,4,2,,,,,238,,3.15,494, ,8.6,8.2,221,64,14.8,9.5,11.9,0.055,0.137,5,24.4,359,4.5,0.063,2.76,85.7,41,4.8,21.6,0.96,,6.7,,,,,,80,,,,,,15,9.6,,10,3044,,,482,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,4/26/2010,26,4,2010,9:27,,,MDT,K,WS,,,,6.6,,,,,,,,3.35,465,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/19/2010,19,5,2010,15:20,,,MDT,K,WS,,,,16,22,,,,,201,,3.01,445, ,8.4,8.2,197,58.8,12.3,13.7,15.7,0.061,0.164,7.1,32.2,408,7.1,0.065,3.55,129,45.3,3,28.9,0.92,,5.7,,,,,,78,,,,,,21,11,,10,3044,,,433,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/2/2010,2,6,2010,14:45,,,MDT,K,WS,,,,12.5,19,,,,,602,,4.15,383,0.00001,8,7.8,156,46,10.1,16.4,37,0.075,0.695,10.5,168,2690,14.1,0.177,23.6,304,23.6,6.4,145,1.26,,17,,,,,,63,,,,,,146,237,,20,3036,,,374,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/8/2010,8,6,2010,9:29,,,MDT,K,WS,,,,,,,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/15/2010,15,6,2010,13:35,,,MDT,K,WS,,,,14,19,,,,,968,,4.92,297,0.00001,8.1,8,131,39.4,8.03,17.7,31.2,0.099,0.453,12.9,124,1780,22.6,0.241,15.7,196,17,6.7,98.6,1.5,,27,,,,,,53,,,,,,107,280,,20,3036,,,286,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/17/2010,17,6,2010,12:46,,,MDT,K,WS,,,,8.7,,,,,,,,6.52,385,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/20/2010,20,7,2010,14:00,,,MDT,K,WS,,,,19,27,,,,,290,,3.33,352, ,8.4,8.2,150,45.4,8.91,18.1,19.9,0.077,0.234,8.8,20.7,180,5.7,0.085,1.69,54.3,29.7,4.2,16.5,1.01,,8.2,,,,,,70,,,,,,7,5.5,,10,3044,,,345,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/21/2010,21,7,2010,11:05,,,MDT,K,WS,,,,16.9,,,,,,,,3.29,354,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/25/2010,25,8,2010,9:50,,,MDT,K,WS,,,,13,15.5,,,,,186,,2.95,439,0.00001,8.3,8.3,192,57.2,12,15.9,17.9,0.057,0.082,7,12.4,119,7.8,0.076,0.9,40.6,19.4,4.7,10.1,0.9,,5.3,,,,,,66,,,,,,5,2.5,,10,3044,,,433,,,,,,,,,,,,,,,,,,,,0
USGS,12324400,GR,9/1/2010,1,9,2010,14:47,,,MDT,K,WS,,,,13.1,,,,,,,,3.06,447,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/19/2010,19,10,2010,11:12,,,MDT,K,WS,,,,4.5,,,,,,,,3.39,464,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/16/2010,16,11,2010,12:40,,,MST,K,WS,,,,3,-3,,,,,353,,3.52,459,0.00001,8.3,8,210,61.9,13.5,9.2,11.7,0.043,0.217,4.2,24.3,414,5.2,0.048,3.03,82.3,22.6,5.8,26.7,1.07,,10,,,,,,80,,,,,,17,16,,10,3044,,,462,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,12/13/2010,13,12,2010,16:20,,,MST,K,WS,,,,1.2,2.3,,,,,385,,3.62,445,,,,,,,,,,,,,,,,,,,,,1.1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,1/26/2011,26,1,2011,10:52,,,MST,K,WS,,,,2.2,,,,,,311,,3.36,462,,,,,,,,,,,,,,,,,,,,,1.02,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/9/2011,9,3,2011,12:56,,,MST,K,WS,,,,2.7,,,,,,293,,3.31,472,,,,,,,,,,,,,,,,,,,,,1.01,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/15/2011,15,3,2011,15:00,,,MDT,K,WS,,,,4,9,,,,,322,,3.42,455, ,8.8,8.3,206,60.5,13.2,9.3,13.3,0.065,0.174,6.8,31.9,586,6.2,0.068,4.16,81.5,35.3,3.7,28.8,1.04,,9.1,,,,,,74,,,,,,30,26,,10,3044,,,447,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/5/2011,5,4,2011,16:20,,,MDT,K,WS,,,,7.6,8.9,,,,,371,,3.53,472,,,,,,,,,,,,,,,,,,,,,1.08,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,4/13/2011,13,4,2011,10:10,,,MDT,K,WS,,,,6.5,8.5,,,,,315,,3.41,471,0.00001,8.2,8.1,202,58.8,13.5,9.3,15.8,0.071,0.225,6.1,46.2,731,11,0.082,6.42,117,35.6,6.7,41.2,1.04,,8.9,,,,,,85,,,,,,30,26,,10,3044,,,461,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/17/2011,17,5,2011,14:35,,,MDT,K,WS,,,,12,16.5,,,,,726,,4.43,320,0.00001,8.1,7.9,135,40.1,8.54,16.9,39.6,0.076,0.729,11.5,187,3200,28.5,0.284,26.7,298,21,7,148,1.35,,21,,,,,,72,,,,,,152,298,,20,3036,,,305,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/18/2011,18,5,2011,17:43,,,MDT,K,WS,,,,13.7,18.1,,,,,703,,4.34,348,,,,,,,,,,,,,,,,,,,,,1.32,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/25/2011,25,5,2011,16:00,,,MDT,K,WS,,,79,10,20,,,,,1400,5,5.7,312,0.00001,8.1,7.8,136,40.5,8.59,24.1,78.9,0.145,1.51,29.4,448,6360,49.1,0.583,63,458,49.4,20.2,311,1.74,,40,,,,,,60,,,,,,365,1380,,10,3054,10,,313,,,,,,1,,,,,,,,,,,,,,
USGS,12324400,GR,5/27/2011,27,5,2011,17:20,,,MDT,K,WS,,,,10.1,12.5,,,,,1330,,5.64,250,,,,,,,,,,,,,,,,,,,,,1.72,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/1/2011,1,6,2011,14:40,,,MDT,K,WS,,,,11,18.5,,,,,973,,4.93,331, ,8.4,8.2,141,42.7,8.26,23.2,37.8,0.102,0.519,16.4,129,1990,25.8,0.302,17.9,191,18.5,7.1,99.5,1.5,,28,,,,,,46,,,,,,108,284,,20,3036,,,316,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/8/2011,8,6,2011,15:15,,,MDT,K,WS,,,,9,11,,,,,2110,,6.7,276,0.00002,7.8,7.8,114,33.7,7.34,24.8,52.6,0.175,0.863,38.8,227,4770,210,1.19,33.7,310,46,24.9,198,2.04,,60,,,,,,49,,,,,,244,1390,,20,3054,,,272,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/10/2011,10,6,2011,18:35,,,MDT,K,WS,,,,15,19.3,,,,,2560,,7.25,338,,,,,,,,,,,,,,,,,,,,,2.21,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/14/2011,14,6,2011,14:30,,,MDT,K,WS,,,,14.5,15.5,,,,,2310,,6.94,361,0.00001,7.9,8,148,43.5,9.47,36.7,46,0.227,0.447,40.6,103,1330,43.2,0.342,10.8,99,28.1,37.1,93.9,2.12,,65,,,,,,55,,,,,,65,405,,20,3054,,,342,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/24/2011,24,6,2011,13:30,,,MDT,K,WS,,,115,14.5,18.5,,,,,1930,5,6.49,279,0.00001,8.1,8,119,35.4,7.37,34.4,50.9,0.201,0.388,36.2,103,1400,46.4,0.403,10.8,120,51.5,28,78.6,1.98,,55,,1.1,,,,51,,,,,,74,386,,10,3054,10,,277,,,,,,1,,,,,,,,,,,,,,
USGS,12324400,GR,6/29/2011,29,6,2011,14:50,,,MDT,K,WS,,,,14,22,,,,,1710,,6.18,272,0.00001,8.1,8,118,35.8,7,30.6,38.7,0.189,0.421,27.7,94.2,1230,38.4,0.35,10.8,126,49.9,20.7,77.1,1.88,,48,,,,,,57,,,,,,59,272,,20,3054,,,270,,,,,,10,,,,,,,,,,,,,,
USGS,12324400,GR,7/13/2011,13,7,2011,18:15,,,MDT,K,WS,,,,16,17,,,,,1130,,5.07,249,0.00001,8,8.1,107,31.9,6.65,20.4,30.8,0.118,0.345,14.8,83.5,1310,29.7,0.274,10.7,129,45.4,9.6,63.7,1.55,,32,,,,,,67,,,,,,56,171,,20,3036,,,241,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,7/19/2011,19,7,2011,14:20,,,MDT,K,WS,,,,18.9,30,,,,,927,,4.91,272,,,,,,,,,,,,,,,,,,,,,1.5,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,8/16/2011,16,8,2011,13:45,,,MDT,K,WS,,,,17.5,20,,,,,284,,3.3,386,0.00001,8.3,8.3,160,46.9,10.4,19.4,20.7,0.099,0.138,9.1,21.8,241,8.1,0.07,1.9,66.6,29.6,5.4,18.2,1.01,,8,,,,,,75,,,,,,10,7.7,,10,3044,,,386,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,10/14/2011,14,10,2011,12:50,,,MDT,K,WS,,,,8,8.8,,,,,315,,3.45,411,,,,,,,,,,,,,,,,,,,,,1.05,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/8/2011,8,11,2011,12:55,,,MST,K,WS,,,,1,4,,,,,360,,3.54,449, ,8.5,8.2,218,64.6,13.7,9.8,11.4,0.071,0.144,4,18.7,294,9.2,0.075,2.22,69.8,37,7.7,20.5,1.08,,10,,,,,,82,,,,,,11,11,,10,3044,,,447,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,11/16/2011,16,11,2011,14:09,,,MST,K,WS,,,,,-0.1,,,,,344,,3.63,406,,,,,,,,,,,,,,,,,,,,,1.11,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,1/4/2012,4,1,2012,12:38,,,MST,K,WS,,,,1.7,9.7,,,,,310,,3.46,412,,,,,,,,,,,,,,,,,,,,,1.05,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,2/17/2012,17,2,2012,11:42,,,MST,K,WS,,,,1.1,1.6,,,,,285,,3.32,506,,,,,,,,,,,,,,,,,,,,,1.01,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/13/2012,13,3,2012,13:10,,,MDT,K,WS,,,,5.2,13.7,,,,,308,,3.48,443,,,,,,,,,,,,,,,,,,,,,1.06,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/15/2012,15,3,2012,10:30,,,MDT,K,WS,,,,3.5,11,,,,,297,,3.43,458,,,,,,,,,,,,,,,,,,,,,1.05,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,3/20/2012,20,3,2012,12:45,,,MDT,K,WS,,,,2,2.5,,,,,335,,3.56,476,0.00001,8.2,8.1,215,62.6,14.3,10.9,16.1,0.111,0.246,8.1,45.6,787,23.2,0.155,5.74,129,64.6,8.7,40.5,1.09,,9.5,,,,,,80,,,,,,33,30,,10,3044,,,467,,,,,30,30,,,,,,,,,,,,,,
USGS,12324400,GR,4/10/2012,10,4,2012,13:05,,,MDT,K,WS,,,,8,17.5,,,,,353,,3.61,469,0.00001,8.2,8.1,210,61.4,13.8,10.5,15.7,0.079,0.29,6.5,53.3,826,38.1,0.148,6.43,136,48.1,6.9,43.3,1.1,,10,,,,,,81,,,,,,33,31,,10,3044,,,454,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/1/2012,1,5,2012,12:45,,,MDT,K,WS,,,,9,16.8,,,,,573,,4.17,344,,,,,,,,,,,,,,,,,,,,,1.27,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,5/15/2012,15,5,2012,14:35,,,MDT,K,WS,,,,17,28,,,,,267,,3.37,364, ,8.6,8.4,164,47.8,10.8,15,14.7,0.063,0.115,8.8,24.1,335,16.3,0.168,2.6,56.7,24.1,2.8,16.8,1.03,,7.6,,,,,,76,,,,,,13,9.4,,10,3044,,,354,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/6/2012,6,6,2012,10:40,,,MDT,K,WS,,,,11,12,,,,,994,,4.97,282,0.00001,8,7.8,122,34.7,8.62,16.2,41.4,0.082,0.835,16.6,222,3860,39.3,0.422,32.3,344,42.4,8.8,181,1.51,,28,,,,,,64,,,,,,205,550,,20,3054,,,276,,,,,,,,,,,,,,,,,,,,
USGS,12324400,GR,6/14/2012,14,6,2012,14:44,,,MDT,K,WS,,,,15.2,23.8,,,,,669,,4.4,308,,,,,,,,,,,,,,,,,,,,,1.34,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
